id,name,code,value,isVariantAttribute
24,Ứng dụng phổ biến,ng_d_ng_ph_bi_n,"[""- YouTube  - Netflix  - Clip TV  - FPT Play  - MyTV  - VieON  - Spotify  - Tr\u00ecnh duy\u1ec7t web  - Amazon Prime video  - Apple TV"", ""- YouTube  - Netflix  - Galaxy Play (Fim+)  - FPT Play  - VieON  - Eco Dashboard"", ""- YouTube  - Netflix  - Galaxy Play (Fim+)  - FPT Play  - TV 360  - VieON  - Tiktok"", ""- YouTube  - Netflix  - Clip TV  - FPT Play  - Zing TV  - VieON  - MP3 Zing  - Nhaccuatui  - Google Play  - Tr\u00ecnh duy\u1ec7t web"", ""- YouTube  - Netflix  - Clip TV  - FPT Play  - VieON  - Google Play""]",False
25,Tiện ích thông minh khác,ti_n_ch_th_ng_minh_kh_c,"[""Multi View chia nh\u1ecf m\u00e0n h\u00ecnh tivi"", ""Micro t\u00edch h\u1ee3p tr\u00ean TV \u0111i\u1ec1u khi\u1ec3n gi\u1ecdng n\u00f3i r\u1ea3nh tay"", ""Nh\u1eadn di\u1ec7n m\u1ec7nh l\u1ec7nh gi\u1ecdng n\u00f3i, Room to Room Share (Chia s\u1ebb gi\u1eefa c\u00e1c ph\u00f2ng)""]",False
26,"Kích thước có chân, đặt bàn",k_ch_th_c_c_ch_n_t_b_n,"[""Ngang 123.21 cm - Cao 77.38 cm - D\u00e0y 24.91 cm"", ""Ngang 96.55 cm - Cao 63.37 cm - D\u00e0y 18.76 cm"", ""Ngang 123.3 cm - Cao 78.4 cm - D\u00e0y 33.4 cm"", ""Ngang: 123.5 cm - Cao: 77.6 cm - D\u00e0y: 23.1 cm"", ""Ngang 145.09 cm - Cao 87.43 cm - D\u00e0y 27.94 cm"", ""Ngang 190.1 cm - Cao 117.7 cm - D\u00e0y 45.6 cm"", ""Ngang 145.17 cm - Cao 90.04 cm - D\u00e0y 28.56 cm"", ""Ngang 122.6 x Cao 76.6 x D\u00e0y 26.5 cm"", ""Ngang 123.29 cm - Cao 77.83 cm - D\u00e0y 24.65 cm""]",False
27,Khối lượng có chân,kh_i_l_ng_c_ch_n,"[""16.3 Kg"", ""9 Kg"", ""15.7 Kg"", ""14.2 Kg"", ""21.4 kg"", ""45.2 Kg"", ""24.3 Kg"", ""18.4 Kg""]",False
28,"Kích thước không chân, treo tường",k_ch_th_c_kh_ng_ch_n_treo_t_ng,"[""Ngang 123.21 cm - Cao 70.83 cm - D\u00e0y 2.57 cm"", ""Ngang 96.55 cm - Cao 55.94 cm - D\u00e0y 2.57 cm"", ""Ngang 123.3 cm - Cao 71.3 cm - D\u00e0y 7.2 cm"", ""Ngang: 123.5 cm - Cao: 71.5 cm - D\u00e0y: 5.75 cm"", ""Ngang 145.09 cm - Cao 83.19 cm - D\u00e0y 2.57 cm"", ""Ngang 190.1 cm - Cao 109 cm - D\u00e0y 7.3 cm"", ""Ngang 145.17 cm - Cao 83.18 cm - D\u00e0y 25.7 cm"", ""Ngang 122.6 x Cao 71.1 x D\u00e0y 8.1 cm"", ""Ngang 123.29 cm - Cao 70.87 cm - D\u00e0y 25.7 cm""]",False
29,Khối lượng không chân,kh_i_l_ng_kh_ng_ch_n,"[""15.5 Kg"", ""8.4 Kg"", ""15.4 Kg"", ""14 Kg"", ""20.9 kg"", ""43.6 Kg"", ""21.4 Kg"", ""16.1 Kg""]",False
30,Hãng Sản Xuất,h_ng_s_n_xu_t,"[""Samsung (Th\u01b0\u01a1ng hi\u1ec7u : H\u00e0n Qu\u1ed1c)"", ""Sony (Th\u01b0\u01a1ng hi\u1ec7u : Nh\u00e2\u0323t Ba\u0309n)"", ""LG (Th\u01b0\u01a1ng Hi\u1ec7u: H\u00e0n Qu\u1ed1c)"", ""TCL"", ""Nanomax ( Th\u01b0\u01a1ng hi\u1ec7u: Vi\u1ec7t Nam)"", ""Boston Audio"", ""Paramax"", ""Acnos"", ""BOSSINON"", ""Mobell (Th\u01b0\u01a1ng hi\u00ea\u0323u: Vi\u1ec7t Nam)"", ""Dalton (Th\u01b0\u01a1ng hi\u1ec7u: Vi\u1ec7t Nam)"", ""Rapido (Th\u01b0\u01a1ng hi\u1ec7u: \u0110\u1ee9c)"", ""Sunhouse"", ""SUNHOUSE"", ""Iruka ( Th\u01b0\u01a1ng hi\u1ec7u: Nh\u1eadt B\u1ea3n)"", ""H\u00f2a Ph\u00e1t ( Th\u01b0\u01a1ng hi\u1ec7u: Vi\u1ec7t Nam)"", ""Boss ( Th\u01b0\u01a1ng hi\u1ec7u : Nh\u1eadt B\u1ea3n )"", ""Sunhouse (Th\u01b0\u01a1ng hi\u1ec7u: Vi\u1ec7t Nam)"", ""BOSS"", ""Bear"", ""YANFAN"", ""TOSHIBA"", ""Perfect"", ""ASIAVINA"", ""Senko"", ""Yanfan"", ""Simplehome"", ""Daikiosan"", ""LG (Th\u01b0\u01a1ng hi\u1ec7u: H\u00e0n Qu\u1ed1c)"", ""Gaabor (Th\u01b0\u01a1ng hi\u1ec7u: \u0110\u1ee9c)"", ""Paveden"", ""Panasonic (Th\u01b0\u01a1ng hi\u1ec7u: Nh\u1eadt B\u1ea3n)"", ""Toshiba (Th\u01b0\u01a1ng hi\u1ec7u: Nh\u1eadt B\u1ea3n)"", ""Mutosi"", ""Karofi (Th\u01b0\u01a1ng hi\u1ec7u: Vi\u1ec7t Nam)"", ""AOSmith (Th\u01b0\u01a1ng Hi\u1ec7u : M\u1ef9)"", ""Hurom (Th\u01b0\u01a1ng hi\u1ec7u: H\u00e0n Qu\u1ed1c)"", ""Philips (Th\u01b0\u01a1ng hi\u1ec7u: H\u00e0 Lan)"", ""Vivo"", ""iPhone (Apple)"", ""Oppo"", ""Apple ( Th\u01b0\u01a1ng hi\u1ec7u: M\u1ef9)"", ""Xiaomi"", ""Apple (Th\u01b0\u01a1ng hi\u1ec7u: M\u1ef9)"", ""Samsung (Th\u01b0\u01a1ng hi\u1ec7u:H\u00e0n Qu\u1ed1c)"", ""Samsung (Th\u01b0\u01a1ng hi\u1ec7u: H\u00e0n Qu\u1ed1c)"", ""ELECTROLUX"", ""KITCHENLUX""]",True
31,Sản Xuất Tại,s_n_xu_t_t_i,"[""Vi\u1ec7t Nam"", ""Malaysia"", ""Indonesia"", ""Vi\u00ea\u0323t Nam"", ""Trung Qu\u1ed1c"", ""Th\u00e1i Lan""]",False
32,Bảo Hành,b_o_h_nh,"[""24 Th\u00e1ng"", ""24 Th\u00e1ng (K\u00edch Ho\u1ea1t T\u1eeb 18.03.2025)"", ""24 th\u00e1ng"", ""- Loa Bass, Loa Treble, V\u0129 m\u1ea1ch ch\u00ednh: 12 th\u00e1ng  - Micro, B\u00ecnh \u1eaec quy: 6 th\u00e1ng"", ""- loa bass , treple , bo m\u1ea1ch c\u00f4ng su\u1ea5t: 2 n\u0103m  - b\u00ecnh \u0111i\u1ec7n : 1 n\u0103m"", ""- Loa: 12 Th\u00e1ng  - B\u00ecnh v\u00e0 ph\u1ee5 ki\u1ec7n k\u00e8m theo: 6 Th\u00e1ng"", ""- loa: 12 th\u00e1ng  - Mic: 12 th\u00e1ng  - \u1eafc quy: 06 th\u00e1ng"", ""- Loa: 1 n\u0103m  - B\u00ecnh: 6 th\u00e1ng"", ""Loa Bass, Loa Treble, V\u0129 m\u1ea1ch ch\u00ednh: 12 th\u00e1ng Micro, B\u00ecnh \u1eaec quy: 6 th\u00e1ng"", ""- Loa: 24 Th\u00e1ng  - B\u00ecnh: 12 Th\u00e1ng"", ""- Loa: 12 Th\u00e1ng  - B\u00ecnh v\u00e0 Micro: 6 Th\u00e1ng"", ""12 Th\u00e1ng"", ""18 th\u00e1ng"", ""12 th\u00e1ng"", ""06 th\u00e1ng"", ""24 th\u00e1ng \u0111\u1ed1i v\u1edbi motor, kh\u00f4ng b\u1ea3o h\u00e0nh c\u00e1nh, ph\u1ea7n nh\u1ef1a"", ""36 th\u00e1ng""]",False
33,Năm ra mắt,n_m_ra_m_t,"[""2024"", ""2022"", ""2021"", ""2023"", ""2020""]",False
